都道府県名,市区町村名,名称,文化財分類,種類,住所,緯度,経度
山口県,下関市,中山忠光墓,史跡,,下関市綾羅木本町,34.004837,130.927383
山口県,下関市,土井ヶ浜遺跡,史跡,,下関市豊北町大字神田上,34.281658,130.900955
山口県,下関市,綾羅木郷遺跡,史跡,,下関市綾羅木,34.013145,130.930161
山口県,下関市,梶栗浜遺跡,史跡,,下関市大字富任字久保,34.019386,130.931107
山口県,下関市,仁馬山古墳,史跡,,下関市大字延行・有富,34.013435,130.939789
山口県,下関市,長州藩下関前田台場跡,史跡,,下関市前田一丁目,33.975075,130.971085
山口県,下関市,勝山御殿跡,史跡,,下関市大字田倉,34.021545,130.971832
山口県,下関市,石柱溪,名勝;天然記念物,,下関市豊田町大字今出,34.248734,131.149384
山口県,下関市,狗留孫山,名勝,,下関市豊田町大字杢路子,34.216145,131.001648
山口県,下関市,川棚のクスの森,天然記念物,,下関市豊浦町大字川棚,34.168091,130.95723
山口県,下関市,満珠樹林,天然記念物,,下関市大字豊浦村,33.995586,130.977066
山口県,下関市,干珠樹林,天然記念物,,下関市大字豊浦村,33.995586,130.977066
山口県,下関市,大吼谷蝙蝠洞,天然記念物,,下関市豊浦町大字小串,34.176769,130.937637
山口県,下関市,小串エヒメアヤメ自生南限地帯,天然記念物,,下関市豊浦町大字小串,34.176769,130.937637
山口県,下関市,六連島の雲母玄武岩,天然記念物,,下関市大字六連島,33.975601,130.863251
山口県,下関市,壁島ウ渡来地,天然記念物,,下関市豊北町大字神田上,34.281658,130.900955
山口県,下関市,恩徳寺の結びイブキ,天然記念物,,下関市豊北町大字神田,34.328148,130.901138
山口県,下関市,木屋川・音信川ゲンジボタル発生地,天然記念物,,下関市,33.957287,130.940964
山口県,宇部市,宗隣寺庭園,名勝,,宇部市大字小串,33.949139,131.232529
山口県,宇部市,吉部の大岩郷,天然記念物,,宇部市大字西吉部,34.118626,131.258057
山口県,山口市,常栄寺庭園,史跡;名勝,,山口市宮野下,34.200893,131.502975
山口県,山口市,大村益次郎墓,史跡,,山口市鋳銭司,34.086681,131.464523
山口県,山口市,野谷石風呂,史跡,,山口市徳地野谷,34.291553,131.642426
山口県,山口市,佐波川関水,史跡,,山口市徳地船路,34.26215,131.667877
山口県,山口市,陶陶窯跡,史跡,,山口市陶,34.094673,131.428513
山口県,山口市,大内氏遺跡附凌雲寺跡,史跡,,山口市上宇野令ほか,34.2076,131.461365
山口県,山口市,周防鋳銭司跡,史跡,,山口市鋳銭司,34.086681,131.464523
山口県,山口市,萩藩主毛利家墓所,史跡,,山口市香山町,34.189232,131.473114
山口県,山口市,朝田墳墓群,史跡,,山口市朝田・吉敷,34.149879,131.417313
山口県,山口市,萩往還（関連遺跡：国境の碑・一の坂一里塚・六軒茶屋）,史跡,,山口市,34.178333,131.473892
山口県,山口市,周防灘干拓遺跡（名田島新開作南蛮樋）,史跡,,山口市名田島,34.068817,131.414719
山口県,山口市,長門峡,名勝,,山口市阿東,34.444439,131.66835
山口県,山口市,常徳寺庭園,名勝,,山口市阿東蔵目喜,34.387344,131.568405
山口県,山口市,小郡町ナギ自生北限地,天然記念物,,山口市小郡上郷,34.134544,131.395523
山口県,山口市,平川の大スギ,天然記念物,,山口市吉田,34.139793,131.471832
山口県,山口市,法泉寺のシンパク,天然記念物,,山口市滝町,34.188477,131.465515
山口県,山口市,山口ゲンジボタル発生地,天然記念物,,山口市（一円）,34.178333,131.473892
山口県,山口市,龍蔵寺のイチョウ,天然記念物,,山口市吉敷,34.183544,131.411957
山口県,山口市,出雲神社ツルマンリョウ自生地,天然記念物,,山口市徳地堀,34.189011,131.636612
山口県,萩市,松下村塾,史跡,,萩市大字椿東,34.426121,131.413086
山口県,萩市,吉田松陰幽囚ノ旧宅,史跡,,萩市大字椿東,34.426121,131.413086
山口県,萩市,萩反射炉,史跡,,萩市大字椿東,34.426121,131.413086
山口県,萩市,旧萩藩校明倫館,史跡,,萩市大字江向,34.406464,131.397812
山口県,萩市,木戸孝允旧宅,史跡,,萩市呉服町,34.412678,131.393188
山口県,萩市,伊藤博文旧宅,史跡,,萩市大字椿東,34.426121,131.413086
山口県,萩市,旧萩藩御船倉,史跡,,萩市大字東浜崎,34.419552,131.402603
山口県,萩市,萩城跡,史跡,,萩市大字堀内字旧城ほか,34.416138,131.384445
山口県,萩市,萩城城下町,史跡,,萩市呉服町・南古萩町,34.412678,131.393188
山口県,萩市,萩藩主毛利家墓所,史跡,,"萩市大字堀内
萩市大字椿字青海
萩市大字椿東字松本",34.416138,131.384445
山口県,萩市,見島ジーコンボ古墳群,史跡,,萩市見島,34.778282,131.140091
山口県,萩市,萩往還（関連遺跡：唐樋札場跡・涙松跡・悴坂一里塚跡・悴坂駕籠建場・上長瀬一里塚・逆修石）,史跡,,萩市,34.408054,131.39917
山口県,萩市,大板山たたら製鉄遺跡,史跡,,萩市大字紫福,34.473858,131.522369
山口県,萩市,恵美須ヶ鼻造船所跡,史跡,,萩市大字椿東,34.426121,131.413086
